fecha;lote_id;recolector_id;kg;precio;porcentaje_verde
2015-11-19;L01;T093;23.59;650;0.0193
2015-11-26;L01;T027;19.73;725;0.0305
2015-11-26;L01;T032;19.73;725;0.0305
2015-11-26;L01;T093;19.73;725;0.0305
2015-11-12;L01;T080;79.68;1200;0.014
2015-11-23;L01;T068;64.02;650;0.0212
2015-11-10;L01;T012;28.61;650;0.022
2015-11-10;L01;T046;28.61;650;0.022
2015-11-10;L01;T004;28.61;650;0.022
2015-11-12;L01;T079;76.48;900;0.0225
2015-10-06;L01;T015;34.98;900;0.0175
2015-10-06;L01;T090;34.98;900;0.0175
2015-10-09;L01;T038;73.14;1200;0.0244
2015-10-05;L01;T047;71.99;1200;0.0127
2015-10-01;L01;T011;21.42;650;0.0223
2015-10-01;L01;T071;21.42;650;0.0223
2015-10-01;L01;T083;21.42;650;0.0223
2015-10-25;L01;T030;16.61;1200;0.0253
2015-10-25;L01;T024;16.61;1200;0.0253
2015-10-25;L01;T095;16.61;1200;0.0253
2015-10-19;L01;T046;23.54;650;0.0274
2015-10-19;L01;T078;23.54;650;0.0274
2015-10-19;L01;T038;23.54;650;0.0274
2015-10-10;L01;T047;32.21;680;0.02
2015-10-10;L01;T019;32.21;680;0.02
2015-10-26;L01;T034;25.37;650;0.0238
2015-10-26;L01;T053;25.37;650;0.0238
2015-10-26;L01;T006;25.37;650;0.0238
2015-10-09;L01;T035;37.99;1200;0.0257
2015-10-09;L01;T044;37.99;1200;0.0257
2015-10-25;L01;T081;52.85;1200;0.0158
2015-10-06;L01;T032;81.24;900;0.0186
2015-10-13;L01;T047;69.75;725;0.0201
2015-10-04;L01;T046;36.14;900;0.0203
2015-10-04;L01;T089;36.14;900;0.0203
2015-10-15;L01;T035;27.39;900;0.0248
2015-10-15;L01;T012;27.39;900;0.0248
2015-10-15;L01;T013;27.39;900;0.0248
2015-10-01;L01;T084;26.55;900;0.0291
2015-10-01;L01;T024;26.55;900;0.0291
2015-10-01;L01;T029;26.55;900;0.0291
2015-10-25;L01;T037;66.03;680;0.017
2015-10-08;L01;T084;36.08;900;0.0148
2015-10-08;L01;T063;36.08;900;0.0148
2015-10-28;L01;T008;59.8;680;0.0208
2015-10-04;L01;T034;48.12;680;0.0218
2015-10-28;L01;T047;20.31;725;0.018
2015-10-28;L01;T051;20.31;725;0.018
2015-10-28;L01;T004;20.31;725;0.018
2015-10-06;L01;T015;27.06;725;0.0292
2015-10-06;L01;T060;27.06;725;0.0292
2015-10-18;L01;T004;55.02;1200;0.0209
2015-10-22;L01;T035;23.49;650;0.0145
2015-10-22;L01;T034;23.49;650;0.0145
2015-10-22;L01;T041;23.49;650;0.0145
2015-10-25;L01;T040;22.11;900;0.0262
2015-10-25;L01;T094;22.11;900;0.0262
2015-10-25;L01;T047;22.11;900;0.0262
2015-10-01;L01;T090;70.95;900;0.0296
2015-10-06;L01;T028;69.17;680;0.024
2015-10-05;L01;T052;60.96;900;0.0268
2015-12-14;L01;T053;29.45;680;0.0153
2015-12-14;L01;T004;29.45;680;0.0153
2015-12-01;L01;T086;26.07;900;0.0277
2015-12-01;L01;T084;26.07;900;0.0277
2015-12-01;L01;T044;26.07;900;0.0277
2015-12-08;L01;T049;33.73;725;0.0179
2015-12-08;L01;T085;33.73;725;0.0179
2015-12-22;L01;T062;62.24;1200;0.0245
2015-12-22;L01;T017;23.89;680;0.0267
2015-12-22;L01;T042;23.89;680;0.0267
2015-12-22;L01;T088;23.89;680;0.0267
2015-12-15;L01;T074;40.81;900;0.0181
2015-12-15;L01;T023;40.81;900;0.0181
2015-12-02;L01;T046;34.77;900;0.0202
2015-12-02;L01;T004;34.77;900;0.0202
2015-12-02;L01;T020;25.27;725;0.0303
2015-12-02;L01;T086;25.27;725;0.0303
2015-12-02;L01;T048;25.27;725;0.0303
2015-12-02;L01;T074;23.17;680;0.0091
2015-12-02;L01;T062;23.17;680;0.0091
2015-12-02;L01;T059;23.17;680;0.0091
2015-12-28;L01;T094;69.71;725;0.0106
2015-12-05;L01;T057;65.51;900;0.0271
2015-12-10;L01;T069;34.39;900;0.0176
2015-12-10;L01;T002;34.39;900;0.0176
2015-12-13;L01;T019;23.76;725;0.0131
2015-12-13;L01;T049;23.76;725;0.0131
2015-12-13;L01;T041;23.76;725;0.0131
2015-12-19;L01;T021;15.16;680;0.0302
2015-12-19;L01;T004;15.16;680;0.0302
2015-12-19;L01;T052;15.16;680;0.0302
2015-12-11;L01;T002;71.2;725;0.0153
2015-12-03;L01;T046;33.96;650;0.0254
2015-12-03;L01;T047;33.96;650;0.0254
2015-12-26;L01;T035;36.86;900;0.0174
2015-12-26;L01;T079;36.86;900;0.0174
2015-12-28;L01;T043;32.55;1200;0.0196
2015-12-28;L01;T013;32.55;1200;0.0196
2015-12-01;L01;T095;22.88;1200;0.0226
2015-12-01;L01;T059;22.88;1200;0.0226
2015-12-02;L01;T029;21.23;650;0.0159
2015-12-02;L01;T043;21.23;650;0.0159
2015-12-02;L01;T093;21.23;650;0.0159
2015-12-09;L01;T006;33.53;725;0.0155
2015-12-09;L01;T061;33.53;725;0.0155
2015-12-15;L01;T040;55.07;650;0.0202
2015-12-17;L01;T052;76.1;650;0.0169
2015-08-20;L01;T088;30.97;650;0.0139
2015-08-20;L01;T054;30.97;650;0.0139
2015-08-14;L01;T046;26.07;1200;0.0268
2015-08-14;L01;T081;26.07;1200;0.0268
2015-08-13;L01;T030;23.85;1200;0.0161
2015-08-13;L01;T030;23.85;1200;0.0161
2015-08-13;L01;T073;23.85;1200;0.0161
2015-08-14;L01;T057;21.29;900;0.0245
2015-08-14;L01;T066;21.29;900;0.0245
2015-08-14;L01;T045;21.29;900;0.0245
2015-08-15;L01;T001;35.23;900;0.0176
2015-08-15;L01;T043;35.23;900;0.0176
2015-08-07;L01;T078;28.37;900;0.0167
2015-08-07;L01;T015;28.37;900;0.0167
2015-08-12;L01;T052;60.37;900;0.014
2015-08-04;L01;T058;40.54;900;0.0135
2015-08-04;L01;T090;40.54;900;0.0135
2015-08-15;L01;T035;27.77;725;0.0228
2015-08-15;L01;T084;27.77;725;0.0228
2015-08-15;L01;T035;27.77;725;0.0228
2015-08-08;L01;T083;41.23;1200;0.0299
2015-08-08;L01;T018;41.23;1200;0.0299
2015-08-09;L01;T039;37.34;680;0.0186
2015-08-09;L01;T011;37.34;680;0.0186
2015-08-27;L01;T010;26.66;650;0.0228
2015-08-27;L01;T088;26.66;650;0.0228
2015-08-21;L01;T038;31.42;680;0.0169
2015-08-21;L01;T099;31.42;680;0.0169
2015-08-11;L01;T001;23.08;900;0.0245
2015-08-11;L01;T058;23.08;900;0.0245
2015-08-11;L01;T014;23.08;900;0.0245
2015-08-04;L01;T014;42.83;650;0.0196
2015-08-04;L01;T093;42.83;650;0.0196
2015-08-25;L01;T028;35.19;900;0.0289
2015-08-25;L01;T067;35.19;900;0.0289
2015-08-19;L201;T092;31221.56;725;0.0225
2015-08-19;L01;T026;31.56;725;0.0225
2015-08-12;L02;T007;25.97;1200;0.0155
2015-08-12;L02;T059;25.97;1200;0.0155
2015-08-05;L02;T032;5225.73;1200;0.0201
2015-08-11;L02;T089;18.51;725;0.0262
2015-08-11;L02;T046;18.51;725;0.0262
2015-08-05;L02;T085;57.55;725;0.0171
2015-08-05;L02;T013;22.64;900;0.017
2015-08-05;L02;T052;22.64;900;0.017
2015-08-05;L02;T100;22.64;900;0.017
2015-08-17;L02;T053;26.69;725;0.0232
2015-08-17;L02;T050;26.69;725;0.0232
2015-08-14;L02;T042;46.19;650;0.0138
2015-08-08;L02;T043;54.34;650;0.0225
2015-08-14;L02;T022;53.87;900;0.0224
2015-08-05;L02;T065;27.45;900;0.0135
2015-08-05;L02;T032;27.45;900;0.0135
2015-08-04;L02;T014;28.08;725;0.0115
2015-08-04;L02;T032;28.08;725;0.0115
2015-08-08;L02;T036;21.1;900;0.018
2015-08-08;L02;T092;21.1;900;0.018
2015-08-08;L02;T095;21.1;900;0.018
2015-08-06;L02;T085;32.55;1200;0.0276
2015-08-25;L02;T095;20.46;680;0.0119
2015-08-25;L02;T075;20.46;680;0.0119
2015-08-14;L02;T050;10.94;1200;0.0272
2015-08-14;L02;T046;10.94;1200;0.0272
2015-08-14;L02;T062;10.94;1200;0.0272
2015-09-19;L02;T094;14.48;680;0.018
2015-09-19;L02;T089;14.48;680;0.018
2015-09-19;L02;T062;14.48;680;0.018
2015-09-15;L02;T029;18.25;725;0.0314
2015-09-15;L02;T054;18.25;725;0.0314
2015-09-15;L02;T074;18.25;725;0.0314
2015-09-27;L02;T043;46.34;680;0.022
2015-09-05;L02;T062;23.14;650;0.0219
2015-09-05;L02;T012;23.14;650;0.0219
2015-09-02;L02;T054;53.59;725;0.0217
2015-09-22;L02;T066;59.65;725;0.0178
2015-09-15;L02;T005;20.2;650;0.0176
2015-09-15;L02;T020;20.2;650;0.0176
2015-09-15;L02;T087;20.2;650;0.0176
2015-09-19;L02;T046;17.7;1200;0.0294
2015-09-19;L02;T003;17.7;1200;0.0294
2015-09-19;L02;T056;17.7;1200;0.0294
2015-09-27;L02;T017;21.03;1200;0.0174
2015-09-27;L02;T046;21.03;1200;0.0174
2015-09-08;L02;T055;12.22;680;0.0275
2015-09-08;L02;T075;12.22;680;0.0275
2015-09-08;L02;T074;12.22;680;0.0275
2015-09-26;L02;T091;51.35;900;0.0332
2015-09-01;L02;T062;50.82;900;0.0236
2015-09-24;L02;T002;45.48;725;0.0265
2015-09-22;L02;T040;23.77;900;0.0176
2015-09-22;L02;T053;23.77;900;0.0176
2015-09-14;L02;T068;53.14;1200;0.0181
2015-09-22;L02;T045;69.04;1200;0.0226
2015-09-15;L02;T055;48.81;725;0.0179
2015-09-21;L02;T003;43.14;1200;0.0212
2015-09-26;L02;T096;24.14;1200;0.0231
2015-09-26;L02;T056;24.14;1200;0.0231
2015-09-27;L02;T088;15.83;680;0.0283
2015-09-27;L02;T013;15.83;680;0.0283
2015-09-27;L02;T042;15.83;680;0.0283
2015-09-27;L02;T033;41.56;680;0.0193
2015-10-20;L02;T086;56.03;680;0.0192
2015-10-11;L02;T011;42.37;725;0.0226
2015-10-17;L02;T059;19.43;680;0.0209
2015-10-17;L02;T061;19.43;680;0.0209
2015-10-17;L02;T035;19.43;680;0.0209
2015-10-08;L02;T010;69.3;650;0.0203
2015-10-23;L02;T083;30.06;680;0.0184
2015-10-23;L02;T072;30.06;680;0.0184
2015-10-17;L02;T087;16.58;1200;0.0173
2015-10-17;L02;T057;16.58;1200;0.0173
2015-10-17;L02;T086;16.58;1200;0.0173
2015-10-18;L02;T060;28.9;680;0.015
2015-10-18;L02;T059;28.9;680;0.015
2015-10-02;L02;T039;19.24;900;0.034
2015-10-02;L02;T028;19.24;900;0.034
2015-10-06;L02;T023;47.33;680;0.0212
2015-10-23;L02;T059;24.44;680;0.0226
2015-10-23;L02;T088;24.44;680;0.0226
2015-10-19;L02;T032;13.89;1200;0.0288
2015-10-19;L02;T094;13.89;1200;0.0288
2015-10-19;L02;T066;13.89;1200;0.0288
2015-10-23;L02;T080;53.64;650;0.0161
2015-10-08;L02;T075;55.41;725;0.0144
2015-10-08;L02;T050;16.91;680;0.0193
2015-10-08;L02;T012;16.91;680;0.0193
2015-10-08;L02;T094;16.91;680;0.0193
2015-10-19;L02;T032;20.42;900;0.0236
2015-10-19;L02;T038;20.42;900;0.0236
2015-10-03;L02;T006;28.05;725;0.0153
2015-10-03;L02;T039;28.05;725;0.0153
2015-10-11;L02;T054;15.98;725;0.0147
2015-10-11;L02;T009;15.98;725;0.0147
2015-10-11;L02;T078;15.98;725;0.0147
2015-10-16;L02;T098;51.73;900;0.0164
2015-10-23;L02;T059;26.24;900;0.0244
2015-10-23;L02;T095;26.24;900;0.0244
2015-10-02;L02;T001;17.23;900;0.0237
2015-10-02;L02;T020;17.23;900;0.0237
2015-10-02;L02;T036;17.23;900;0.0237
2015-10-10;L02;T016;15.52;1200;0.0254
2015-10-10;L02;T063;15.52;1200;0.0254
2015-10-10;L02;T096;15.52;1200;0.0254
2015-11-20;L02;T059;20.2;900;0.0288
2015-11-20;L02;T041;20.2;900;0.0288
2015-11-09;L02;T064;18.42;1200;0.0173
2015-11-09;L02;T014;18.42;1200;0.0173
2015-11-22;L02;T053;23.67;725;0.0213
2015-11-22;L02;T018;23.67;725;0.0213
2015-11-24;L02;T038;49.85;900;0.0217
2015-11-18;L02;T001;22.05;725;0.0234
2015-11-18;L02;T092;22.05;725;0.0234
2015-11-18;L02;T007;22.05;725;0.0234
2015-11-09;L02;T072;25.64;900;0.0191
2015-11-09;L02;T048;25.64;900;0.0191
2015-11-26;L02;T044;52.23;900;0.0231
2015-11-11;L02;T017;25.45;1200;0.0266
2015-11-11;L02;T068;25.45;1200;0.0266
2015-11-04;L02;T055;44.3;1200;0.02
2015-11-25;L02;T044;63.58;650;0.0199
2015-11-10;L02;T058;15.61;650;0.0168
2015-11-10;L02;T016;15.61;650;0.0168
2015-11-10;L02;T014;15.61;650;0.0168
2015-11-06;L02;T051;43.2;725;0.0242
2015-11-25;L02;T037;70.71;680;0.0189
2015-11-26;L02;T004;30.26;900;0.0175
2015-11-26;L02;T053;30.26;900;0.0175
2015-11-02;L02;T039;17.96;650;0.0164
2015-11-02;L02;T047;17.96;650;0.0164
2015-11-02;L02;T052;17.96;650;0.0164
2015-11-21;L02;T095;39.24;725;0.0229
2015-11-11;L02;T080;43.08;900;0.0132
2015-11-27;L02;T093;27.15;725;0.0112
2015-11-27;L02;T030;27.15;725;0.0112
2015-11-23;L02;T059;53.7;725;0.0209
2015-11-24;L02;T059;18.19;680;0.0124
2015-11-24;L02;T068;18.19;680;0.0124
2015-11-24;L02;T097;18.19;680;0.0124
2015-11-17;L02;T041;34.6;900;0.0195
2015-11-17;L02;T069;34.6;900;0.0195
2015-11-09;L02;T036;47.36;900;0.0212
2015-11-08;L02;T023;16.58;725;0.0289
2015-11-08;L02;T025;16.58;725;0.0289
2015-11-08;L02;T040;16.58;725;0.0289
2015-11-08;L02;T021;12.77;650;0.018
2015-11-08;L02;T057;12.77;650;0.018
2015-11-08;L02;T029;12.77;650;0.018
2015-11-18;L02;T043;27.37;900;0.0249
2015-11-18;L02;T072;27.37;900;0.0249
2015-11-06;L02;T081;12.26;650;0.0257
2015-11-06;L02;T050;12.26;650;0.0257
2015-11-06;L02;T005;12.26;650;0.0257
2015-12-17;L02;T072;20.05;725;0.0189
2015-12-17;L02;T004;20.05;725;0.0189
2015-12-16;L02;T028;52.85;680;0.0231
2015-12-17;L02;T055;29.82;725;0.0253
2015-12-17;L02;T037;29.82;725;0.0253
2015-12-08;L02;T088;16.49;1200;0.0117
2015-12-08;L02;T053;16.49;1200;0.0117
2015-12-08;L02;T076;16.49;1200;0.0117
2015-12-27;L02;T024;28.07;725;0.0207
2015-12-27;L02;T088;28.07;725;0.0207
2015-12-15;L02;T033;20.95;680;0.0253
2015-12-15;L02;T049;20.95;680;0.0253
2015-12-27;L02;T046;24.85;650;0.0234
2015-12-27;L02;T002;24.85;650;0.0234
2015-12-20;L02;T060;23.25;900;0.0244
2015-12-20;L02;T023;23.25;900;0.0244
2015-12-07;L02;T005;16.91;900;0.0177
2015-12-07;L02;T011;16.91;900;0.0177
2015-12-07;L02;T057;16.91;900;0.0177
2015-12-12;L02;T032;14.06;650;0.0264
2015-12-12;L02;T010;14.06;650;0.0264
2015-12-12;L02;T069;14.06;650;0.0264
2015-12-23;L02;T061;48.6;650;0.0178
2015-12-04;L02;T064;22.56;900;0.0252
2015-12-04;L02;T032;22.56;900;0.0252
2015-12-01;L02;T069;26;680;0.0244
2015-12-01;L02;T076;26;680;0.0244
2015-12-02;L02;T001;18.45;725;0.0202
2015-12-02;L02;T078;18.45;725;0.0202
2015-12-02;L02;T085;18.45;725;0.0202
2015-12-27;L02;T032;46.12;900;0.027
2015-12-12;L02;T062;18.97;900;0.0216
2015-12-12;L02;T091;18.97;900;0.0216
2015-12-12;L02;T060;18.97;900;0.0216
2015-12-25;L02;T094;15.55;680;0.0273
2015-12-25;L02;T074;15.55;680;0.0273
2015-12-25;L02;T024;15.55;680;0.0273
2015-12-20;L02;T088;14.49;1200;0.024
2015-12-20;L02;T001;14.49;1200;0.024
2015-12-20;L02;T055;14.49;1200;0.024
2015-12-13;L02;T032;19.96;680;0.0154
2015-12-13;L02;T033;19.96;680;0.0154
2015-12-05;L02;T033;49.74;900;0.0212
2015-12-25;L02;T043;20.99;650;0.0234
2015-12-25;L02;T009;20.99;650;0.0234
2015-12-05;L02;T062;28.69;900;0.0189
2015-12-05;L02;T045;28.69;900;0.0189
2015-12-24;L02;T067;67.32;650;0.0167
2015-12-07;L02;T024;51.25;725;0.0225
2015-12-19;L02;T087;19.11;900;0.0204
2015-12-19;L02;T021;19.11;900;0.0204
2015-01-26;L02;T018;26.76;725;0.0225
2015-01-26;L02;T028;26.76;725;0.0225
2015-01-15;L02;T036;25.36;725;0.0125
2015-01-15;L02;T080;25.36;725;0.0125
2015-01-17;L02;T089;23.6;680;0.0141
2015-01-17;L02;T100;23.6;680;0.0141
2015-01-18;L02;T003;14.59;900;0.0224
2015-01-18;L02;T079;14.59;900;0.0224
2015-01-18;L02;T040;14.59;900;0.0224
2015-01-06;L02;T071;60.34;900;0.0234
2015-01-09;L02;T027;11.05;1200;0.0156
2015-01-09;L02;T024;11.05;1200;0.0156
2015-01-09;L02;T077;11.05;1200;0.0156
2015-01-28;L02;T041;22.73;650;0.0198
2015-01-28;L02;T044;22.73;650;0.0198
2015-01-12;L02;T005;49.48;680;0.0191
2015-01-05;L02;T052;14.4;900;0.0249
2015-01-05;L02;T021;14.4;900;0.0249
2015-01-05;L02;T019;14.4;900;0.0249
2015-01-06;L02;T044;28.32;680;0.0152
2015-01-06;L02;T095;28.32;680;0.0152
2015-01-18;L02;T074;46.12;680;0.0211
2015-01-18;L02;T082;23.89;680;0.0156
2015-01-19;L02;T056;23.16;680;0.0252
2015-01-19;L02;T029;23.16;680;0.0252
2015-01-08;L02;T001;18.85;650;0.0223
2015-01-08;L02;T098;18.85;650;0.0223
2015-01-24;L02;T066;54.43;900;0.0255
2015-01-27;L02;T039;17.68;900;0.0236
2015-01-27;L02;T001;17.68;900;0.0236
2015-01-27;L02;T025;17.68;900;0.0236
2015-01-13;L02;T025;19.33;650;0.0258
2015-01-13;L02;T012;19.33;650;0.0258
2015-01-13;L02;T012;19.33;650;0.0258
2015-01-27;L02;T044;15.04;725;0.0224
2015-01-27;L02;T005;15.04;725;0.0224
2015-01-27;L02;T031;15.04;725;0.0224
2015-01-13;L02;T033;16.25;725;0.0207
2015-01-13;L02;T060;16.25;725;0.0207
2015-01-13;L02;T090;16.25;725;0.0207
2015-01-21;L02;T004;22.41;1200;0.0225
2015-01-21;L02;T074;22.41;1200;0.0225
2015-01-14;L02;T090;21.96;650;0.0243
2015-01-14;L02;T077;21.96;650;0.0243
2015-01-13;L02;T082;51.43;650;0.0202
2015-01-08;L02;T030;55.65;650;0.0132
2015-02-16;L02;T074;26;680;0.018
2015-02-16;L02;T048;26;680;0.018
2015-02-09;L02;T088;16.43;725;0.0214
2015-02-09;L02;T060;16.43;725;0.0214
2015-02-09;L02;T037;16.43;725;0.0214
2015-02-05;L02;T062;15.55;1200;0.021
2015-02-05;L02;T056;15.55;1200;0.021
2015-02-05;L02;T070;15.55;1200;0.021
2015-02-17;L02;T065;27.82;900;0.0249
2015-02-17;L02;T091;27.82;900;0.0249
2015-02-01;L02;T061;15.2;680;0.0296
2015-02-01;L02;T085;15.2;680;0.0296
2015-02-01;L02;T064;15.2;680;0.0296
2015-02-03;L02;T011;37.21;900;0.0269
2015-02-11;L02;T093;15.54;1200;0.0256
2015-02-11;L02;T001;15.54;1200;0.0256
2015-02-11;L02;T016;15.54;1200;0.0256
2015-02-11;L02;T033;22.92;680;0.0294
2015-02-11;L02;T093;22.92;680;0.0294
2015-02-02;L02;T041;13.59;680;0.0191
2015-02-02;L02;T043;13.59;680;0.0191
2015-02-02;L02;T071;13.59;680;0.0191
2015-02-11;L02;T099;19.47;900;0.0266
2015-02-11;L02;T075;19.47;900;0.0266
2015-02-11;L02;T045;19.47;900;0.0266
2015-02-03;L02;T081;54.88;725;0.0195
2015-02-27;L02;T084;18.07;680;0.0172
2015-02-27;L02;T065;18.07;680;0.0172
2015-02-28;L02;T067;19.02;725;0.0243
2015-02-28;L02;T079;19.02;725;0.0243
2015-02-28;L02;T052;19.02;725;0.0243
2015-02-17;L02;T005;13.54;1200;0.0272
2015-02-17;L02;T046;13.54;1200;0.0272
2015-02-17;L02;T074;13.54;1200;0.0272
2015-02-12;L02;T093;26.9;680;0.0199
2015-02-12;L02;T009;26.9;680;0.0199
2015-02-25;L02;T012;17.52;1200;0.0223
2015-02-25;L02;T066;17.52;1200;0.0223
2015-02-25;L02;T023;17.52;1200;0.0223
2015-02-27;L02;T045;17.82;725;0.023
2015-02-27;L02;T025;17.82;725;0.023
2015-02-27;L02;T090;17.82;725;0.023
2015-03-12;L02;T074;59.37;680;0.0225
2015-03-14;L02;T066;62.29;725;0.0275
2015-03-06;L02;T056;22.85;1200;0.0177
2015-03-06;L02;T006;22.85;1200;0.0177
2015-03-22;L02;T055;18.89;680;0.0114
2015-03-22;L02;T029;18.89;680;0.0114
2015-03-22;L02;T080;18.89;680;0.0114
2015-03-13;L02;T061;24.55;725;0.0141
2015-03-13;L02;T095;24.55;725;0.0141
2015-03-18;L02;T055;22.85;650;0.0175
2015-03-18;L02;T061;22.85;650;0.0175
2015-03-18;L02;T051;22.85;650;0.0175
2015-03-13;L02;T038;17.31;680;0.0223
2015-03-13;L02;T022;17.31;680;0.0223
2015-03-13;L02;T053;17.31;680;0.0223
2015-03-24;L02;T081;23.79;680;0.0202
2015-03-24;L02;T029;23.79;680;0.0202
2015-03-22;L02;T048;22.71;650;0.0143
2015-03-22;L02;T040;22.71;650;0.0143
2015-03-28;L02;T052;50.47;725;0.0161
2015-03-13;L02;T087;19.8;900;0.0145
2015-03-13;L02;T090;19.8;900;0.0145
2015-03-07;L02;T088;18.25;680;0.0151
2015-03-07;L02;T061;18.25;680;0.0151
2015-03-07;L02;T090;18.25;680;0.0151
2015-03-02;L02;T038;16.92;1200;0.0186
2015-03-02;L02;T035;16.92;1200;0.0186
2015-03-02;L02;T070;16.92;1200;0.0186
2015-03-03;L02;T097;51.58;900;0.0244
2015-03-07;L02;T049;19.25;900;0.0243
2015-03-07;L02;T014;19.25;900;0.0243
2015-03-28;L02;T042;15.22;650;0.0254
2015-03-28;L02;T095;15.22;650;0.0254
2015-03-28;L02;T053;15.22;650;0.0254
2015-03-07;L02;T006;27.44;900;0.0299
2015-03-07;L02;T027;27.44;900;0.0299
2015-03-26;L02;T079;16.41;1200;0.0275
2015-03-26;L02;T060;16.41;1200;0.0275
2015-03-26;L02;T069;16.41;1200;0.0275
2015-03-09;L02;T074;24.17;725;0.0139
2015-03-09;L02;T026;24.17;725;0.0139
2015-03-22;L02;T044;62.99;680;0.0254
2015-03-13;L02;T007;19.16;725;0.0253
2015-03-13;L02;T019;19.16;725;0.0253
2015-03-04;L02;T057;54.28;650;0.0219
2015-03-23;L02;T088;17.93;900;0.01
2015-03-23;L02;T040;17.93;900;0.01
2015-03-23;L02;T066;17.93;900;0.01
2015-03-03;L02;T004;48.68;650;0.0162
2015-03-22;L02;T081;19.39;900;0.0194
2015-03-22;L02;T095;19.39;900;0.0194
2015-03-22;L02;T011;19.39;900;0.0194
2015-03-26;L02;T075;23.19;650;0.0279
2015-03-26;L02;T040;23.19;650;0.0279
2015-03-20;L02;T067;24.43;1200;0.0217
2015-03-20;L02;T063;24.43;1200;0.0217
2015-03-20;L02;T010;24.43;1200;0.0217
2015-05-04;L02;T085;24.69;725;0.0181
2015-05-04;L02;T035;24.69;725;0.0181
2015-05-15;L02;T063;24.35;900;0.0244
2015-05-15;L02;T091;24.35;900;0.0244
2015-05-19;L02;T095;18.67;680;0.0209
2015-05-19;L02;T029;18.67;680;0.0209
2015-05-19;L02;T088;18.67;680;0.0209
2015-05-13;L02;T054;59.35;725;0.0194
2015-05-03;L02;T032;23.21;900;0.0269
2015-05-03;L02;T024;23.21;900;0.0269
2015-05-23;L02;T053;19.8;680;0.0272
2015-05-23;L02;T049;19.8;680;0.0272
2015-05-23;L02;T016;44.72;725;0.0193
2015-05-22;L02;T064;16.27;680;0.0253
2015-05-22;L02;T050;16.27;680;0.0253
2015-05-22;L02;T052;16.27;680;0.0253
2015-05-25;L02;T061;44.86;900;0.0214
2015-05-27;L02;T033;14.48;650;0.0119
2015-05-27;L02;T093;14.48;650;0.0119
2015-05-27;L02;T065;14.48;650;0.0119
2015-05-05;L02;T071;50.13;680;0.0195
2015-05-23;L02;T020;12.78;1200;0.0186
2015-05-23;L02;T097;12.78;1200;0.0186
2015-05-23;L02;T018;12.78;1200;0.0186
2015-05-22;L02;T097;25.29;725;0.0136
2015-05-22;L02;T056;25.29;725;0.0136
2015-05-12;L02;T024;16.02;725;0.0262
2015-05-12;L02;T053;16.02;725;0.0262
2015-05-12;L02;T033;16.02;725;0.0262
2015-05-12;L02;T006;43.71;725;0.0226
2015-05-11;L02;T002;56.35;680;0.0261
2015-05-17;L02;T079;17.62;650;0.0222
2015-05-17;L02;T093;17.62;650;0.0222
2015-05-17;L02;T011;17.62;650;0.0222
2015-05-15;L02;T073;30.94;725;0.0315
2015-05-15;L02;T068;30.94;725;0.0315
2015-05-14;L02;T010;25.18;1200;0.0166
2015-05-14;L02;T099;25.18;1200;0.0166
2015-05-01;L02;T073;49.02;1200;0.0148
2015-05-27;L02;T063;25.29;900;0.01
2015-05-27;L02;T058;25.29;900;0.01
2015-05-12;L02;T078;51.05;900;0.0223
